panel_id,image_path,stress,strain,yield_strength,label
54,54,273,0.24,279,Pass
117,117,257,0.17,285,Pass
3,3,256,0.19,264,Pass
10,10,161,0.39,206,Broken
84,84,316,0.19,212,Pass
77,77,240,0.19,298,Pass
47,47,305,0.13,274,Pass
110,110,188,0.38,191,Broken
6,6,165,0.4,206,Broken
26,26,248,0.21,278,Pass
88,88,272,0.25,278,Pass
58,58,199,0.33,204,Broken
69,69,249,0.11,262,Pass
46,46,167,0.4,190,Broken
33,33,286,0.22,275,Pass
72,72,242,0.14,257,Pass
140,140,306,0.21,275,Pass
62,62,312,0.18,279,Pass
149,149,153,0.34,202,Broken
16,16,280,0.16,291,Pass
79,79,155,0.36,203,Broken
114,114,188,0.31,194,Broken
100,100,220,0.16,273,Pass
101,101,275,0.11,217,Pass
105,105,151,0.31,197,Broken
43,43,184,0.41,187,Broken
132,132,261,0.19,287,Pass
146,146,281,0.13,246,Pass
8,8,281,0.12,213,Pass
89,89,252,0.23,283,Pass
18,18,152,0.38,203,Broken
15,15,233,0.21,247,Pass
34,34,155,0.3,204,Broken
25,25,161,0.39,180,Broken
66,66,238,0.16,283,Pass
120,120,169,0.4,204,Broken
8,8,188,0.36,200,Broken
91,91,195,0.38,186,Broken
47,47,198,0.38,180,Broken
74,74,161,0.33,203,Broken
94,94,199,0.4,182,Broken
77,77,184,0.42,196,Broken
137,137,265,0.13,214,Pass
61,61,157,0.34,184,Broken
78,78,166,0.31,201,Broken
64,64,157,0.39,181,Broken
85,85,290,0.1,259,Pass
80,80,235,0.17,244,Pass
112,112,199,0.42,186,Broken
82,82,245,0.18,283,Pass
31,31,277,0.22,296,Pass
145,145,167,0.41,205,Broken
90,90,242,0.16,228,Pass
76,76,176,0.34,191,Broken
148,148,315,0.18,287,Pass
129,129,267,0.2,268,Pass
98,98,174,0.31,185,Broken
93,93,176,0.37,208,Broken
43,43,230,0.18,219,Pass
26,26,193,0.32,187,Broken
83,83,259,0.15,252,Pass
60,60,183,0.44,195,Broken
7,7,154,0.38,204,Broken
36,36,228,0.15,220,Pass
24,24,240,0.16,271,Pass
31,31,182,0.41,201,Broken
23,23,157,0.34,188,Broken
107,107,222,0.21,268,Pass
57,57,175,0.33,207,Broken
37,37,251,0.18,220,Pass
109,109,185,0.33,206,Broken
127,127,176,0.37,196,Broken
81,81,319,0.17,277,Pass
44,44,318,0.16,221,Pass
130,130,184,0.33,191,Broken
133,133,308,0.14,212,Pass
83,83,174,0.41,189,Broken
85,85,198,0.44,189,Broken
67,67,189,0.35,197,Broken
139,139,229,0.19,295,Pass
14,14,299,0.16,269,Pass
5,5,275,0.11,280,Pass
20,20,150,0.38,201,Broken
125,125,196,0.35,183,Broken
80,80,169,0.33,200,Broken
115,115,175,0.34,185,Broken
119,119,189,0.31,206,Broken
73,73,171,0.38,205,Broken
16,16,171,0.37,181,Broken
11,11,157,0.38,192,Broken
45,45,230,0.21,267,Pass
102,102,187,0.45,186,Broken
69,69,175,0.41,190,Broken
75,75,247,0.16,229,Pass
38,38,161,0.36,200,Broken
17,17,154,0.33,189,Broken
30,30,238,0.2,262,Pass
148,148,153,0.35,189,Broken
125,125,224,0.11,266,Pass
68,68,174,0.39,185,Broken
79,79,319,0.11,214,Pass
70,70,168,0.31,190,Broken
32,32,190,0.34,205,Broken
34,34,315,0.23,250,Pass
116,116,273,0.2,286,Pass
76,76,304,0.12,231,Pass
141,141,185,0.42,209,Broken
19,19,171,0.36,205,Broken
32,32,302,0.19,273,Pass
97,97,151,0.35,193,Broken
133,133,191,0.38,186,Broken
113,113,291,0.22,238,Pass
87,87,180,0.37,188,Broken
99,99,237,0.18,280,Pass
96,96,224,0.12,223,Pass
117,117,160,0.36,194,Broken
147,147,192,0.35,185,Broken
143,143,311,0.12,222,Pass
48,48,245,0.23,219,Pass
57,57,239,0.14,234,Pass
56,56,183,0.38,201,Broken
23,23,224,0.2,212,Pass
35,35,245,0.2,296,Pass
18,18,221,0.16,228,Pass
140,140,164,0.34,192,Broken
104,104,260,0.11,286,Pass
39,39,176,0.35,193,Broken
126,126,175,0.44,205,Broken
46,46,303,0.18,237,Pass
134,134,314,0.16,282,Pass
138,138,196,0.39,205,Broken
113,113,173,0.38,180,Broken
19,19,290,0.19,272,Pass
118,118,190,0.36,199,Broken
128,128,275,0.15,266,Pass
122,122,241,0.17,268,Pass
6,6,241,0.19,289,Pass
27,27,298,0.17,260,Pass
29,29,268,0.15,240,Pass
3,3,162,0.3,183,Broken
116,116,156,0.34,199,Broken
144,144,158,0.38,186,Broken
28,28,304,0.18,239,Pass
121,121,153,0.41,185,Broken
61,61,302,0.16,284,Pass
111,111,275,0.17,224,Pass
128,128,151,0.44,193,Broken
75,75,176,0.34,204,Broken
30,30,191,0.32,200,Broken
84,84,199,0.39,203,Broken
120,120,316,0.12,298,Pass
108,108,172,0.44,204,Broken
74,74,306,0.17,295,Pass
